nbrdesc,combined_ht_all,avg_ht_all,combined_diam_all,avg_diam_all,combined_ht_filled,avg_ht_filled,combined_diam_filled,avg_diam_filled
guilford,68491,26.76,31705,12.39,68491,26.76,31705,12.39
gwynns falls,3430,8.91,1223.6,3.18,3430,8.91,1223.6,3.18
gwynns falls/leakin park,12627,31.89,4824,12.18,12627,31.89,4824,12.18
hamilton hills,33837,12.91,16161.7,6.16,33837,12.91,16161.7,6.16
hampden,34908,18.44,16495.8,8.71,34908,18.44,16495.8,8.71
hanlon-longwood,22777,19.79,13121.4,11.4,22777,19.79,13121.4,11.4
harlem park,30860,15.42,14423.2,7.21,30860,15.42,14423.2,7.21
harwood,8137,19.06,2802.5,6.56,8137,19.06,2802.5,6.56
hawkins point,3202,13.23,1923.8,7.95,3202,13.23,1923.8,7.95
heritage crossing,15027,22.39,4718.9,7.03,15027,22.39,4718.9,7.03
herring run park,14329,25.05,7566.8,13.23,14329,25.05,7566.8,13.23
highlandtown,11105,11.63,4157.7,4.35,11105,11.63,4157.7,4.35
hillen,5519,15.86,3073.7,8.83,5519,15.86,3073.7,8.83
hoes heights,4099,22.4,1872.6,10.23,4099,22.4,1872.6,10.23
holabird industrial park,11034,16.82,4688.8,7.15,11034,16.82,4688.8,7.15
hollins market,14550,20.21,4966.9,6.9,14550,20.21,4966.9,6.9
homeland,44739,28.41,26444.89,16.79,44739,28.41,26444.89,16.79
hopkins bayview,7583,15.44,3165.4,6.45,7583,15.44,3165.4,6.45
howard park,42080,11.63,21217.15,5.86,42080,11.63,21217.15,5.86
hunting ridge,17352,25.08,7397.7,10.69,17352,25.08,7397.7,10.69
idlewood,9313,13.76,5504.5,8.13,9313,13.76,5504.5,8.13
inner harbor,10120,13.83,3680.3,5.03,10120,13.83,3680.3,5.03
irvington,17484,16.56,7508.7,7.11,17484,16.56,7508.7,7.11
johns hopkins homewood,10361,25.33,5485.2,13.41,10361,25.33,5485.2,13.41
johnston square,6954,8.49,3111.2,3.8,6954,8.49,3111.2,3.8
jones falls area,446,18.58,251.2,10.47,446,18.58,251.2,10.47
jonestown,8834,11.41,3712.35,4.8,8834,11.41,3712.35,4.8
kenilworth park,2246,8.35,1784.29,6.63,2246,8.35,1784.29,6.63
kernewood,4454,15.68,2210.67,7.78,4454,15.68,2210.67,7.78
keswick,7964,33.6,3581.4,15.11,7964,33.6,3581.4,15.11
kresson,1646,9.14,947.9,5.27,1646,9.14,947.9,5.27
lake evesham,2822,15.77,1667.5,9.32,2822,15.77,1667.5,9.32
lake walker,10877,23.65,5236,11.38,10877,23.65,5236,11.38
lakeland,8187,24.59,3221.8,9.68,8187,24.59,3221.8,9.68
langston hughes,2038,6.51,1306.1,4.17,2038,6.51,1306.1,4.17
