nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable,stump_count,dead_count,total_at_moderate_diff,stump_perc_of_moderate_diff,dead_perc_of_moderate_diff,tracked_spaces,live_trees,empty_spaces,poor_perc,fair_perc,good_perc,poor_count,fair_count,good_count,combined_ht,avg_ht,combined_diam,avg_diam,perc_trees_to_spaces,absent,stump,dead,poor,fair,good,unknown
glen oaks,277,56,4,NA,741,337,82.2,16.62,1.19,NA,41,15,56,73.21,26.79,1078,741,337,6.61,23.21,70.18,49,172,520,21973,29.65,11116.9,15,68.74,281,41,15,49,172,520,NA
glenham-belhar,544,32,71,9,393,656,82.93,4.88,10.82,1.37,24,8,32,75,25,1049,393,656,10.18,53.44,36.39,40,210,143,12867,32.74,6450.5,16.41,37.46,624,24,8,40,210,143,NA
graceland park,295,34,40,NA,362,369,79.95,9.21,10.84,NA,17,17,34,50,50,731,362,369,9.67,33.7,56.63,35,122,205,7541,20.83,2923.9,8.08,49.52,335,17,17,35,122,205,NA
greektown,70,31,162,9,567,272,25.74,11.4,59.56,3.31,18,13,31,58.06,41.94,839,567,272,3.35,21.52,75.13,19,122,426,9735,17.17,3115.2,5.49,67.58,241,18,13,19,122,426,NA
greenmount cemetery,3,4,3,NA,49,10,30,40,30,NA,NA,4,4,NA,100,59,49,10,10.2,12.24,77.55,5,6,38,708,14.45,193.5,3.95,83.05,6,NA,4,5,6,38,NA
greenmount west,3,22,139,13,345,177,1.69,12.43,78.53,7.34,17,5,22,77.27,22.73,522,345,177,4.64,18.84,76.52,16,65,264,8311,24.09,2541.2,7.37,66.09,155,17,5,16,65,264,NA
greenspring,343,32,44,1,191,420,81.67,7.62,10.48,0.24,29,3,32,90.62,9.38,611,191,420,26.7,43.98,29.32,51,84,56,6194,32.43,3293.3,17.24,31.26,388,29,3,51,84,56,NA
grove park,400,18,3,NA,213,421,95.01,4.28,0.71,NA,10,8,18,55.56,44.44,634,213,421,18.78,38.97,42.25,40,83,90,7640,35.87,3359.09,15.77,33.6,403,10,8,40,83,90,NA
guilford,274,127,10,1,2147,412,66.5,30.83,2.43,0.24,76,51,127,59.84,40.16,2559,2147,412,4.75,21.94,73.31,102,471,1574,66892,31.16,29283.1,13.64,83.9,285,76,51,102,471,1574,NA
gwynns falls,95,13,53,2,222,163,58.28,7.98,32.52,1.23,5,8,13,38.46,61.54,385,222,163,2.7,19.37,77.93,6,43,173,3354,15.11,1185.9,5.34,57.66,150,5,8,6,43,173,NA
gwynns falls/leakin park,NA,52,NA,NA,344,52,NA,100,NA,NA,21,31,52,40.38,59.62,396,344,52,8.72,29.94,61.34,30,103,211,11670,33.92,4056.1,11.79,86.87,NA,21,31,30,103,211,NA
hamilton hills,1199,120,67,1,1235,1387,86.45,8.65,4.83,0.07,84,36,120,70,30,2622,1235,1387,9.15,25.91,64.94,113,320,802,32903,26.64,14337.1,11.61,47.1,1267,84,36,113,320,802,NA
hampden,171,49,336,19,1318,575,29.74,8.52,58.43,3.3,34,15,49,69.39,30.61,1893,1318,575,7.74,22.91,69.35,102,302,914,34527,26.2,15611,11.84,69.62,526,34,15,102,302,914,NA
hanlon-longwood,462,52,25,NA,612,539,85.71,9.65,4.64,NA,29,23,52,55.77,44.23,1151,612,539,11.6,48.37,40.03,71,296,245,22314,36.46,12147,19.85,53.17,487,29,23,71,296,245,NA
harlem park,34,94,422,227,1224,777,4.38,12.1,54.31,29.21,42,52,94,44.68,55.32,2001,1224,777,11.76,48.28,39.95,144,591,489,29798,24.34,13185.9,10.77,61.17,683,42,52,144,591,489,NA
harwood,1,6,49,6,365,62,1.61,9.68,79.03,9.68,3,3,6,50,50,427,365,62,5.75,21.64,72.6,21,79,265,8100,22.19,2781.1,7.62,85.48,56,3,3,21,79,265,NA
hawkins point,73,25,NA,NA,144,98,74.49,25.51,NA,NA,15,10,25,60,40,242,144,98,6.94,65.28,27.78,10,94,40,2966,20.6,1648.5,11.45,59.5,73,15,10,10,94,40,NA
heritage crossing,20,20,22,NA,609,62,32.26,32.26,35.48,NA,7,13,20,35,65,671,609,62,6.24,20.03,73.73,38,122,449,14805,24.31,4550.9,7.47,90.76,42,7,13,38,122,449,NA
herring run park,1,33,NA,NA,538,34,2.94,97.06,NA,NA,16,17,33,48.48,51.52,572,538,34,3.53,12.45,84.01,19,67,452,13913,25.86,6902.7,12.83,94.06,1,16,17,19,67,452,NA
highlandtown,42,40,185,32,656,299,14.05,13.38,61.87,10.7,23,17,40,57.5,42.5,955,656,299,4.42,19.82,75.76,29,130,497,10829,16.51,3842.6,5.86,68.69,259,23,17,29,130,497,NA
