nbrdesc,num_easy,num_moderate,num_hard,num_not_suitable,num_has_tree,num_empty_spaces,perc_easy,perc_moderate,perc_hard,perc_not_suitable
waverly,176,23,25,13,329,237,74.26,9.7,10.55,5.49
west arlington,752,18,12,8,257,790,95.19,2.28,1.52,1.01
west forest park,275,40,12,2,279,329,83.59,12.16,3.65,0.61
west hills,176,27,7,NA,254,210,83.81,12.86,3.33,NA
westfield,537,21,48,7,341,613,87.6,3.43,7.83,1.14
westgate,209,32,15,1,363,257,81.32,12.45,5.84,0.39
westport,88,48,56,23,440,215,40.93,22.33,26.05,10.7
wilhelm park,22,5,2,NA,71,29,75.86,17.24,6.9,NA
wilson park,8,7,16,1,70,32,25,21.88,50,3.12
winchester,94,5,55,16,81,170,55.29,2.94,32.35,9.41
windsor hills,292,31,2,NA,222,325,89.85,9.54,0.62,NA
winston-govans,110,2,1,NA,49,113,97.35,1.77,0.88,NA
woodberry,28,11,27,1,276,67,41.79,16.42,40.3,1.49
woodbourne heights,242,34,3,1,285,280,86.43,12.14,1.07,0.36
woodbourne-mccabe,33,10,9,NA,39,52,63.46,19.23,17.31,NA
woodmere,282,17,60,6,151,365,77.26,4.66,16.44,1.64
wrenlane,8,3,3,NA,12,14,57.14,21.43,21.43,NA
wyman park,54,14,31,NA,508,99,54.55,14.14,31.31,NA
wyndhurst,52,43,31,1,569,127,40.94,33.86,24.41,0.79
yale heights,320,15,NA,NA,172,335,95.52,4.48,NA,NA
york-homeland,NA,NA,1,NA,13,1,NA,NA,100,NA
NA,8,1,NA,NA,4,9,88.89,11.11,NA,NA
