nbrdesc,combined_ht,avg_ht,combined_diam,avg_diam,stump,dead,poor,fair,good,total_possible,total_trees,total_absent,potential_wellpit
walbrook,10137,11.62,5764.5,6.61,7.55,0.47,9.2,23.35,59.43,872,424,448,40
waltherson,17393,13.03,9602.94333,7.19,6.34,2.44,13.01,36.1,42.11,1335,615,720,68
washington hill,16106,15.79,6792.85,6.66,3.08,2.5,6.61,31.42,56.39,1020,681,339,295
washington village/pigtown,22541,14.28,9030,5.72,4.38,4.21,3.26,11.16,77,1579,1165,414,284
waverly,9440,16.68,4958.3,8.76,5.97,0.57,9.09,30.68,53.69,566,352,214,25
west arlington,12181,11.63,5809.6845,5.55,4.36,2.18,36,31.64,25.82,1047,275,772,12
west forest park,10949,18.01,5933.4,9.76,7.84,4.7,17.87,38.56,31.03,608,319,289,12
west hills,9385,20.23,4454.7,9.6,6.05,3.56,5.69,21.71,62.99,464,281,183,7
westfield,9889,10.37,4800.5,5.03,3.04,2.76,9.67,28.45,56.08,954,362,592,48
westgate,16986,27.4,7924.6,12.78,5.57,2.53,6.33,28.1,57.47,620,395,225,15
westport,8929,13.63,4869.905,7.43,2.25,7.58,7.79,30.74,51.64,655,488,167,56
wilhelm park,2188,21.88,1117.6,11.18,6.58,NA,2.63,26.32,64.47,100,76,24,2
wilson park,1473,14.44,953.1,9.34,7.79,1.3,14.29,31.17,45.45,102,77,25,16
winchester,3042,12.12,1626.4,6.48,3.49,2.33,9.3,30.23,54.65,251,86,165,55
windsor hills,8350,15.27,4477.8,8.19,9.88,2.37,9.49,33.2,45.06,547,253,294,2
winston-govans,1106,6.83,797.7,4.92,3.92,NA,17.65,33.33,45.1,162,51,111,1
woodberry,6845,19.96,3029.7,8.83,2.44,1.39,3.83,13.24,79.09,343,287,56,27
woodbourne heights,6213,11,3738.5,6.62,8.46,2.19,4.39,18.18,66.77,565,319,246,3
woodbourne-mccabe,910,10,839.7,9.23,18.37,2.04,14.29,36.73,28.57,91,49,42,9
woodmere,4979,9.65,2655.1,5.15,9.52,0.6,15.48,45.83,28.57,516,168,348,60
wrenlane,252,9.69,219.3,8.43,20,NA,NA,26.67,53.33,26,15,11,3
wyman park,13883,22.87,6451.42,10.63,1.15,1.53,7.28,20.88,69.16,607,522,85,31
